"CustomerID","Age","Gender","Income","CampaignChannel","CampaignType","AdSpend","ClickThroughRate","ConversionRate","WebsiteVisits","PagesPerVisit","TimeOnSite","SocialShares","EmailOpens","EmailClicks","PreviousPurchases","LoyaltyPoints","Conversion"
8000,56,"Female",136912,"Social Media","Awareness",6497.87006841777,0.043918510735383,0.0880314120728811,0,2.39901652778385,7.39680258079606,19,6,9,4,688,1
8001,69,"Male",41760,"Email","Retention",3898.66860568073,0.155725071055334,0.18272468252179,42,2.91713775465652,5.35254860124216,5,2,7,2,3459,1
8002,46,"Female",88456,"PPC","Awareness",1546.42959579909,0.277490368733263,0.0764227200769894,2,8.22361909796517,13.7949014655365,0,11,2,8,2337,1
8003,32,"Female",44085,"PPC","Conversion",539.525935779369,0.137611253601724,0.0880041866896052,47,4.54093897313265,14.6883626212605,89,2,2,0,2463,1
8004,60,"Female",83964,"PPC","Conversion",1678.04357265707,0.252851106563881,0.109940103179295,0,2.04684711807375,13.993370402629,6,6,6,8,4345,1
8005,25,"Female",42925,"Social Media","Awareness",9579.388246784,0.153794679144682,0.161316126470101,6,2.12584971889748,7.75283124173589,95,5,8,0,3316,1
8006,38,"Female",25615,"Referral","Awareness",7302.8998515526,0.0409753864012686,0.0609768202791525,42,1.75399464484641,10.6986716097386,54,14,3,6,930,1
8007,56,"Female",57083,"Social Media","Conversion",5324.28366724951,0.0528779285572571,0.188945924860851,48,2.62601478042997,2.98781738204595,96,9,3,0,2983,1
8008,36,"Female",140788,"Email","Retention",9421.25095054046,0.0235359683143721,0.112585011417092,13,5.47284281987171,14.2874205790676,73,4,8,5,460,1
8009,40,"Male",130764,"Social Media","Awareness",6229.19333304788,0.0666412747669137,0.169785679623138,22,1.135664698104,4.61331198353003,14,8,4,8,3789,1
8010,28,"Male",88319,"PPC","Retention",7283.88736397861,0.269148088962426,0.109867511856644,47,2.05418072164497,3.29472045722069,94,16,5,6,1987,1
8011,28,"Male",29605,"SEO","Awareness",2898.25300320813,0.198557433323544,0.156678707190603,16,9.16410933538071,1.37229921121481,23,18,6,5,2403,1
8012,41,"Male",131093,"Email","Conversion",5930.92025153304,0.224268511116044,0.019769942972016,13,8.88923234042813,8.48038414053298,28,16,5,4,2946,1
8013,53,"Male",64608,"SEO","Awareness",1520.42471854862,0.190281822934065,0.161850371519773,8,8.4977233922963,14.2527249623077,81,8,1,2,2818,1
8014,57,"Male",148788,"Email","Awareness",4104.38313745798,0.122096394720121,0.109552291663889,20,7.35653460629065,2.4660296351671,70,16,8,1,3247,1
8015,41,"Female",39192,"Email","Awareness",429.07921736744,0.0728897285108405,0.0953889617554507,44,6.95369491204816,2.25203938303509,33,0,1,1,4474,0
8016,20,"Female",23331,"PPC","Conversion",2244.61806706854,0.278428229362851,0.0312058366562549,1,3.47964230046054,4.45266566728036,77,7,8,8,3252,1
8017,39,"Female",71330,"Social Media","Conversion",841.199431284479,0.159300636651826,0.150896882392617,31,4.01495079270334,10.1482114482546,83,18,5,2,3463,1
8018,19,"Female",117392,"PPC","Conversion",3939.01031312159,0.149518965550302,0.0349210939757864,7,3.12221961636588,8.44329584248851,92,8,4,6,2222,1
8019,41,"Female",69949,"PPC","Consideration",8446.04812992105,0.298870185692128,0.0465403844327587,35,9.82282268849783,1.89500092406357,36,7,7,3,3644,1
8020,61,"Female",88382,"PPC","Consideration",3841.54765281603,0.121339696632658,0.0340204185848332,25,6.70874306776906,6.91335350146453,41,5,1,6,1651,1
8021,47,"Female",119233,"SEO","Consideration",8333.23229734697,0.257696341318749,0.0112493654655947,36,9.69190632380631,1.47051815255574,63,14,0,5,2586,1
8022,55,"Male",57586,"Email","Consideration",6599.33329453098,0.260079777491888,0.135763618212765,14,3.4460780379605,12.8526004395722,94,14,6,9,1989,1
8023,19,"Female",72243,"Referral","Conversion",5144.34152164519,0.0774743610037607,0.0614603685066052,33,6.59088200513542,2.05312079881213,18,5,5,3,1417,1
8024,38,"Female",120566,"Social Media","Awareness",2445.22776328717,0.037503510781547,0.0383993872462522,20,7.83055678521032,7.33382552085477,22,14,3,2,1563,1
